Strategy,Model,F1_weighted,F1_strategy,n,mean_pp,sd_pp,ci95_lo_pp,ci95_hi_pp,t,p,cohens_dz,holm_p,favours_strategy,favours_weighting
unweighted,CharBiRNN,0.957375,0.957196,5,-0.01794,0.128328,-0.177255,0.141375,-0.312598,0.770205,-0.139798,1.0,False,False
unweighted,CharBiLSTM,0.958918,0.959932,5,0.10144,0.142234,-0.075139,0.278019,1.594742,0.185998,0.71319,1.0,False,False
unweighted,CharBiGRU,0.959331,0.959118,5,-0.02134,0.106115,-0.153078,0.110398,-0.449678,0.676234,-0.201102,1.0,False,False
unweighted,CharTransformer,0.95535,0.953954,5,-0.13958,0.1872,-0.371982,0.092822,-1.667255,0.170791,-0.745619,1.0,False,False
unweighted,WordBiRNN,0.932328,0.931274,5,-0.10544,0.34218,-0.530245,0.319365,-0.689026,0.528692,-0.308142,1.0,False,False
unweighted,WordBiLSTM,0.934351,0.931678,5,-0.2673,0.053163,-0.333299,-0.201301,-11.242898,0.000357,-5.027977,0.008556,False,True
unweighted,WordBiGRU,0.933453,0.93063,5,-0.2823,0.184993,-0.511962,-0.052638,-3.412248,0.026972,-1.526004,0.51246,False,True
unweighted,WordTransformer,0.936462,0.926104,5,-1.03588,0.627567,-1.814982,-0.256778,-3.690919,0.021002,-1.650629,0.441038,False,True
oversampling,CharBiRNN,0.957375,0.955702,5,-0.16728,0.140131,-0.341248,0.006688,-2.669277,0.055848,-1.193737,0.949416,False,False
oversampling,CharBiLSTM,0.958918,0.958874,5,-0.0044,0.051218,-0.067986,0.059186,-0.192094,0.857026,-0.085907,1.0,False,False
oversampling,CharBiGRU,0.959331,0.95902,5,-0.03114,0.195291,-0.273587,0.211307,-0.356551,0.739441,-0.159455,1.0,False,False
oversampling,CharTransformer,0.95535,0.953676,5,-0.16736,0.334629,-0.58279,0.24807,-1.118339,0.326048,-0.500136,1.0,False,False
oversampling,WordBiRNN,0.932328,0.931731,5,-0.05974,0.429761,-0.593273,0.473793,-0.31083,0.771454,-0.139008,1.0,False,False
oversampling,WordBiLSTM,0.934351,0.932962,5,-0.13884,0.059178,-0.212308,-0.065372,-5.24612,0.006314,-2.346136,0.145219,False,True
oversampling,WordBiGRU,0.933453,0.932369,5,-0.1084,0.222881,-0.385098,0.168298,-1.087532,0.337945,-0.486359,1.0,False,False
oversampling,WordTransformer,0.936462,0.934989,5,-0.14732,0.086907,-0.255212,-0.039428,-3.790458,0.019261,-1.695144,0.423748,False,True
balanced,CharBiRNN,0.957375,0.955659,5,-0.17166,0.132852,-0.336591,-0.006729,-2.889261,0.044596,-1.292117,0.802728,False,True
balanced,CharBiLSTM,0.958918,0.958219,5,-0.06992,0.156087,-0.263697,0.123857,-1.001657,0.37319,-0.447954,1.0,False,False
balanced,CharBiGRU,0.959331,0.958615,5,-0.07168,0.158797,-0.268821,0.125461,-1.009346,0.369907,-0.451393,1.0,False,False
balanced,CharTransformer,0.95535,0.95366,5,-0.16904,0.225094,-0.448487,0.110407,-1.67923,0.168407,-0.750974,1.0,False,False
balanced,WordBiRNN,0.932328,0.930915,5,-0.1413,0.218045,-0.411995,0.129395,-1.449042,0.220913,-0.648031,1.0,False,False
balanced,WordBiLSTM,0.934351,0.93209,5,-0.22604,0.216873,-0.49528,0.0432,-2.330589,0.0802,-1.042271,1.0,False,False
balanced,WordBiGRU,0.933453,0.931361,5,-0.20928,0.224691,-0.488226,0.069666,-2.082705,0.105699,-0.931414,1.0,False,False
balanced,WordTransformer,0.936462,0.934828,5,-0.16342,0.101025,-0.288839,-0.038001,-3.617113,0.022415,-1.617622,0.448291,False,True
